messageId;content
166379666871488_166623656847089;"+++ Eilmeldung +++
Die Lage am Gimritzer Damm in Halle wird für freiwillige Helfer zu gefährlich. Pegel der Saale liegt mit 7,50 Metern weit über den Erwartungen. Laut Stadt nur noch Spezialkräfte im Einsatz."
166379666871488_166627606846694;Wen freiwillige helfer gesucht werden bitte under dieser nr melden 015252432551 danke
166379666871488_515596928508882;"Meldepunkte für Helfer aus der Bevölkerung

1.
Schotter- und Kies-Union GmbH & Co. KG
Kieswerk Hirschfeld
Am Ochsenwinkel 2
04319 Leipzig-Hirschfeld

2.
Landestalsperrenverwaltung Sachsen,
Flussmeisterei Leipzig
Am Teilungswehr 1 (Großzschocher)
04249 Leipzig

Bitte versuchen Sie nicht, dorthin direkt mit dem Auto auf das jeweilige Gelände zu fahren. Parken Sie weiträumig außerhalb, um die an- und abfahrenden LKWs nicht zu behindern. Vielen Dank!


(Quelle: http://www.leipzig.de/de/buerger/newsarchiv/2013/Meldepunkte-fuer-Helfer-25572.shtml)"
172504486252455_172507609585476;Freiwillige Helfer: In allen Regionen bitte nicht die 112 anrufen um Hilfsangebote abzugeben - das blockiert die Notfallzentralen. Bitte wendet euch direkt an die Hilfsorganisationen (Freiwillige Feuerwehr, örtliche Verbände und private Hilfsorganisationen)
172504486252455_172515296251374;An der Brückenstraße in Leipzig helfen Hunderte bis tief in die Nacht. Spenden von Essen/Getränke für die Helfer sind dort gerne gesehen ! Bitte teilen.
172504486252455_172522652917305;"Meldepunkte für Helfer aus der Bevölkerung

(03.06.2013) in Leipzig:



Liebe Helferinnen und Helfer, hier nun wie angekündigt die Anschriften der Befüllplätze für Sandsäcke, an denen Ihre Hilfe benötigt wird:



1.

Schotter- und Kies-Union GmbH & Co. KG

Kieswerk Hirschfeld

Am Ochsenwinkel 2

04319 Leipzig-Hirschfeld



Anfahrt mit dem Auto aus Richtung Leipzig

In Leipzig auf die B2/B95 in Richtung Chemnitz/Borna fahren

An der Autobahnanschlussstelle A38, auf die A38 in Richtung Dresden fahren

Am Autobahndreieck A14 / A38 auf die A14 in Richtung Halle/Magdeburg bis zur Abfahrt Kleinpösna fahren

Nach Verlassen der A14 rechts in die Hersvelder Straße einbiegen

Nach ca. 0,1 km am Ochsenwinkel rechts abbiegen





2.

Landestalsperrenverwaltung Sachsen,

Flussmeisterei Leipzig

Am Teilungswehr 1 (Großzschocher)

04249 Leipzig



Bitte versuchen Sie nicht, dorthin direkt mit dem Auto auf das jeweilige Gelände zu fahren. Parken Sie weiträumig außerhalb, um die an- und abfahrenden LKWs nicht zu behindern. Vielen Dank!"
315785568552740_315900345207929;Hallo ihr lieben! Wer will mit essen kochen für die helfer? Wer hat ideen oder lust was mit zu organisieren und anschließend zu verteilen? Die helfer sind auch durchgefrohren! Am besten wäre ja Eintopf. Ich bin in Wurzen.
337930749644059_337941406309660;Wenn noch jemand Hilfe für Sandsäcke, Aufräumarbeiten oder andere Maßnahmen benötigt, ich bin gern bereit zu helfen! 
337930749644059_338196266284174;Hallo wenn Hilfe gebraucht wird freiwillige Helfer der Feuerwehren Berlin und Brandenburg stehen in Alarm Bereitschaft egal wo!! Gruß Raphael Feuerwehr Brandenburg
337930749644059_338341126269688;Zwickau sucht HELFER! Gesucht werden Freiwillige, die Sandsäcke füllen und an der Mulde stapeln. Damit soll die Innenstadt gegen Wassermassen aus dem Fluss geschützt werden. Helfer sollten Schaufeln mitbringen. Treffpunkte sind die Parkplätze am Alten Gasometer und unter der Glück-Brücke.
